Judul,Link
GenbestTalk di Kabupaten Maros Dorong Muda-mudi Paham Bahaya Stunting,https://www.cnnindonesia.com/teknologi/20240712102923-190-1120430/genbesttalk-di-kabupaten-maros-dorong-muda-mudi-paham-bahaya-stunting
"Semuel Abrijani Mundur, Kominfo Tunjuk Ismail Jadi Plt Dirjen Aptika",https://www.cnnindonesia.com/teknologi/20240705165850-185-1118071/semuel-abrijani-mundur-kominfo-tunjuk-ismail-jadi-plt-dirjen-aptika
Pemerintah Investigasi Dugaan Password PDNS Dibocorkan Karyawan Vendor,https://www.cnnindonesia.com/teknologi/20240704111904-185-1117461/pemerintah-investigasi-dugaan-password-pdns-dibocorkan-karyawan-vendor
Dirjen Aptika Kominfo Semuel Pangerapan Mundur Imbas Ransomware PDNS,https://www.cnnindonesia.com/teknologi/20240704100612-185-1117428/dirjen-aptika-kominfo-semuel-pangerapan-mundur-imbas-ransomware-pdns
Pakar: Ada Indikasi Birokrasi yang Berantakan saat Bangun PDN,https://www.cnnindonesia.com/teknologi/20240629174651-185-1115731/pakar-ada-indikasi-birokrasi-yang-berantakan-saat-bangun-pdn
"Bersiap Bikin Lagi Aturan AI, Kominfo Waspadai Risiko",https://www.cnnindonesia.com/teknologi/20240628132914-185-1115293/bersiap-bikin-lagi-aturan-ai-kominfo-waspadai-risiko
"Kominfo Ajak Generasi Muda Peduli Gizi di Genbest Talk, Cegah Stunting",https://www.cnnindonesia.com/teknologi/20240628131706-190-1115283/kominfo-ajak-generasi-muda-peduli-gizi-di-genbest-talk-cegah-stunting
"Cegah Monopoli Google, RI Siapkan Regulasi Baru Demi Ekonomi Digital",https://www.cnnindonesia.com/teknologi/20240622220355-190-1112915/cegah-monopoli-google-ri-siapkan-regulasi-baru-demi-ekonomi-digital
"Pusat Data Nasional Diserang, Pelaku Minta Tebusan Rp131 Miliar",https://www.cnnindonesia.com/teknologi/20240624140714-185-1113434/pusat-data-nasional-diserang-pelaku-minta-tebusan-rp131-miliar
Kominfo Masih Upayakan Pemulihan Pusat Data Nasional,https://www.cnnindonesia.com/teknologi/20240622144053-185-1112805/kominfo-masih-upayakan-pemulihan-pusat-data-nasional
Apa itu Pusat Data Nasional yang Alami Gangguan?,https://www.cnnindonesia.com/teknologi/20240621183325-185-1112569/apa-itu-pusat-data-nasional-yang-alami-gangguan
"Pusat Data Nasional Gangguan, Pakar Duga karena Serangan Ransomware",https://www.cnnindonesia.com/teknologi/20240621155342-185-1112498/pusat-data-nasional-gangguan-pakar-duga-karena-serangan-ransomware
"Menkominfo Akui Pusat Data Nasional Alami Gangguan, Pemulihan Bertahap",https://www.cnnindonesia.com/teknologi/20240620164931-185-1112039/menkominfo-akui-pusat-data-nasional-alami-gangguan-pemulihan-bertahap
"Di Forum WSIS, Menkominfo Ajak UNESCO Perkuat Tata Kelola Internet RI",https://www.cnnindonesia.com/teknologi/20240530193144-190-1103960/di-forum-wsis-menkominfo-ajak-unesco-perkuat-tata-kelola-internet-ri
Menkominfo Respons Kritik Netizen soal Foto Menteri Jokowi & Elon Musk,https://www.cnnindonesia.com/teknologi/20240525233358-185-1101960/menkominfo-respons-kritik-netizen-soal-foto-menteri-jokowi-elon-musk
Budi Arie: Telegram Paling Tak Kooperatif Soal Judi Online,https://www.cnnindonesia.com/teknologi/20240524111600-185-1101519/budi-arie-telegram-paling-tak-kooperatif-soal-judi-online
Menkominfo Ungkap Transaksi Judi Online RI Capai Rp427 T,https://www.cnnindonesia.com/teknologi/20240524110621-185-1101518/menkominfo-ungkap-transaksi-judi-online-ri-capai-rp427-t
Menkominfo Ancam Cabut Izin Penyelenggara Internet Terkait Judi Online,https://www.cnnindonesia.com/teknologi/20240524104004-185-1101497/menkominfo-ancam-cabut-izin-penyelenggara-internet-terkait-judi-online
Budi Arie Ancam Denda Google dll Rp500 Juta Per Konten Terkait Judol,https://www.cnnindonesia.com/teknologi/20240524104935-185-1101501/budi-arie-ancam-denda-google-dll-rp500-juta-per-konten-terkait-judol
"Stop Stunting, Kominfo Giat Info Tentang Gizi Seimbang Lewat Genbest",https://www.cnnindonesia.com/teknologi/20240522122428-190-1100845/stop-stunting-kominfo-giat-info-tentang-gizi-seimbang-lewat-genbest
"Lawan Konten Negatif, #MakinHepii dengan Literasi Digital IMCD",https://www.cnnindonesia.com/teknologi/20240430201147-190-1092461/lawan-konten-negatif-makinhepii-dengan-literasi-digital-imcd
